,name,address
224,리얼스페인 강남점,서울 강남구 강남대로 438 3층 리얼스페인
225,수타우동 겐,부산 수영구 광안해변로 233
226,이자카야나무 강남역2호점,서울 강남구 강남대로78길 8
227,백운봉막국수 역삼동점,서울 강남구 언주로93길 30 역삼빌딩
228,마초갈비 선릉점,서울 강남구 선릉로93길 11 1층
229,알타쿠치나 by 녁,서울 강남구 테헤란로21길 25 1층
230,강남랭겹 강남점,서울 강남구 강남대로96길 13
231,삼겹살전문점대통령 역삼점,서울 강남구 강남대로110길 14
232,js가든 센터필드점,서울 강남구 테헤란로 231 센터필드
233,오므토토마토 강남본점,서울 강남구 테헤란로4길 29
234,르떵하피네,서울 서초구 반포대로9길 70 1F
235,장꼬방,경기 하남시 신장1로15번길 30
236,프릳츠 양재점,서울 서초구 강남대로37길 24-11
237,타르타르 강남역점,서울 서초구 강남대로61길 13
238,곤트란쉐리에 강남역점,서울 서초구 강남대로65길 1
239,이하나커피 교대점,서울 서초구 서초중앙로 110 롯데캐슬메디치 1층
240,미니말레 커피뢰스터 교대점,서울 서초구 서초대로51길 15 1층 미니말레 커피뢰스터
241,아펜즈커피 서초교대점,서울 서초구 서초중앙로 119 1
242,커피앳웍스 양재역점,서울 서초구 강남대로 241 세원빌딩 내 지상 1
243,르떵하피네,서울 서초구 반포대로9길 70 1F
244,고스트요거트 교대본점,서울 서초구 서초중앙로20길 37 1층 고스트요거트
245,김영모과자점 서초본점,서울 서초구 효령로 403 서초그랑몰 102호
246,미니말레 커피뢰스터 교대점,서울 서초구 서초대로51길 15 1층 미니말레 커피뢰스터
247,스타벅스 강남삼성타운점,서울 서초구 서초대로78길 24
248,사푼사푼 강남역점,서울 서초구 강남대로 355 삼성화재서초사옥
249,테라로사 예술의전당점,서울 서초구 남부순환로 2406 예술의전당
250,김영모과자점 서초동성당점,서울 서초구 서초대로64길 41-4
251,디바야누스,서울 서초구 서초대로54길 9-8 길찾기
252,아펜즈커피 서초교대점,서울 서초구 서초중앙로 119 1
253,아가젤라또 서초교대점,서울 서초구 서초중앙로 110 1층 103호
254,파브리끄 양재점,서울 서초구 서운로6길 25 1층
255,매더커피갤러리,서울 서초구 효령로47길 15 1층 매더커피갤러리
256,메종드꼼빠뇽,서울 서초구 서초대로41길 19 1층
257,투썸플레이스 강남역아라타워점,서울 서초구 서초대로77길 3 2층
258,리플렉트커피 로스터스 양재점,서울 서초구 효령로72길 57 E동 101호
259,레어마카롱 교대점,서울 서초구 반포대로24길 47 1층
260,나인블럭 예술의전당점,서울 서초구 남부순환로323길 1 1층
261,설빙 교대역,서울 서초구 서초대로54길 24
262,79파운야드 서초교대점,서울 서초구 서초중앙로 101 1층
263,투썸플레이스 교보타워사거리점,서울 서초구 사평대로 368 1층 투썸플레이스 교보타워사거리점
264,투썸플레이스 서초센트럴아이파크점,서울 서초구 반포대로18길 36 1층 투썸플레이스 서초센트럴아이파크점
265,비스포킷 서초점,서울 서초구 효령로 355 KD CENTER 1층
266,그레이프라운지 강남점,서울 서초구 서초대로73길 38 2층 그레이프라운지
267,폴바셋 강남삼성타운점,서울 서초구 서초대로78길 22 홍우제2빌딩 1층
268,초초베이크숍,서울 서초구 효령로49길 19 1층 ChoCho Bake Shop
269,스타벅스 강남GT타워점,서울 서초구 서초대로 411
270,스타벅스 서초우성사거리점,서울 서초구 강남대로 343
271,오페라빈 에스프레소바 서초점,서울 서초구 반포대로26길 1 1층
272,카페온화 서초점,서울 서초구 반포대로 105
273,웨인스베이글스 강남역점,서울 서초구 효령로77길 34 1층 115호
274,비밀베이커리 예술의전당점,서울 서초구 반포대로 4
275,파리바게뜨 강남서초점,서울 서초구 강남대로 331 (서초동)
276,파란만잔 강남삼성타운점,서울 서초구 강남대로 359
277,폴바셋 서초본점,서울 서초구 사임당로 157 1층
278,고디바 삼성타운점,서울 서초구 서초대로78길 22 1층
279,쉬즈베이글 교대점,서울 서초구 사임당로 60 1층 쉬즈베이글 교대점
280,파리크라상 서초아크로비스타점,서울 서초구 서초중앙로 188 (서초동
281,장티크(J`antique),서울 서초구 서초대로64길 50
282,빌리엔젤 교대점,서울 서초구 반포대로28길 94
283,고품격커피공장 본점,서울 서초구 반포대로21길 17 선업빌딩 1층
284,커피빈 뉴교보타워옆점,서울 서초구 강남대로 449-3 알고코리아 1
285,커피빈 강남역GT타워옆점,서울 서초구 서초대로73길 12 세계빌딩
286,디저트39 교대점,서울 서초구 서초중앙로 116
287,에슬로우 서초1호점,서울 서초구 반포대로14길 58 101호
288,스타벅스 서초역이화빌딩점,서울 서초구 반포대로21길 3
289,스타벅스 남부터미널2점,서울 서초구 효령로 274
290,유캔두잇 서초교대점,서울 서초구 사임당로17길 68
291,빽다방 강남역월드점,서울 서초구 서초대로77길 37 월드상가 104호
292,공차 교보타워점,서울 서초구 서초대로77길 62 강남역 아이파크에비뉴 L1층 103
293,브리오슈도레 강남교보타워점,서울 서초구 강남대로 465 교보타워
294,잠바주스 서초삼성타운점,서울 서초구 서초대로74길 23
295,메가엠지씨커피 강남중앙점,서울 서초구 서초대로77길 35 1층
296,박스프레소 양재점,서울 서초구 강남대로37길 24 1층 박스프레소 양재점
297,에슬로우 서초2호점,서울 서초구 서초중앙로22길 28 1층
298,탐앤탐스커피 서울고사거리점,서울 서초구 효령로 183 혜성빌딩
299,스타벅스 강남에비뉴점,서울 서초구 서초대로77길 62
300,스타벅스 강남교보타워R점,서울 서초구 강남대로 465
301,커피빈 서초뱅뱅사거리점,서울 서초구 강남대로 267
302,폴바셋 교보문고 강남점,서울 서초구 강남대로 465 교보타워 B1F
303,스타벅스 서초파라곤점,서울 서초구 서초대로74길 29
304,폴바셋 강남GT타워점,서울 서초구 서초대로 411 1층
305,스타벅스 몬테소리점,서울 서초구 강남대로 399
306,커피빈 서초지파이브점,서울 서초구 서초중앙로24길 27 G5센트럴프라자
307,해머스미스커피 양재믿음점,서울 서초구 서운로 6 102호
308,투썸플레이스 파이낸셜뉴스빌딩점,서울 서초구 강남대로 315 파이낸셜뉴스빌딩 1층
309,까페라리 서초점,서울 서초구 서초중앙로2길 37
310,바나프레소 신논현역점,서울 서초구 사평대로 364 1층 바나프레소
311,배스킨라빈스 강남신논현점,서울 서초구 강남대로69길 8 케이아이타워 1층 배스킨라빈스 강남신논현점
312,커피빈 서초우성점,서울 서초구 강남대로51길 1 511타원
313,앤티앤스 서초본점,서울 서초구 효령로 258 시트러스 빌딩 1층
314,파스쿠찌 교대메가스터디점,서울 서초구 서초중앙로22길 17 1층
315,소딜리셔스 서울예술의전당점,서울 서초구 남부순환로317길 31 1층
316,매머드익스프레스 남부터미널점,서울 서초구 효령로53길 18 석탑오피스텔 1층
317,로찌커피 교대점,서울 서초구 서초대로58길 5
318,고품격커피공장 서초법조타운점,서울 서초구 법원로1길 11 금구빌딩 1층 108호
319,해머스미스커피 교대1호점,서울 서초구 서초대로51길 11
320,어니스크 서초점,서울 서초구 서초대로53길 24 지앤지빌딩 1층
321,단석가찰보리빵 서울교대점,서울 서초구 서초대로46길 3
322,스타벅스 교대법원점,서울 서초구 서초중앙로 164
323,아디스아바바,서울 서초구 서초중앙로22길 67
324,스타벅스 서초구청점,서울 서초구 남부순환로 2557
325,커스텀커피 서초래미안리더스원점,서울 서초구 사임당로 158 136호
326,커피빈 교대법원점,서울 서초구 서초중앙로 156
327,커피인류 서초래미안리더스원점,서울 서초구 사임당로 158 리더스원상가 1층 117호
328,컴포즈커피 서울교대점,서울 서초구 서초대로54길 37 101호
329,레트로카페트레이더,서울 서초구 효령로 316-1 2층
330,매머드익스프레스 서초센트럴점,서울 서초구 반포대로18길 36 1층 107호
331,바나프레소 남부터미널점,서울 서초구 효령로57길 1
332,OMG coffee & dessert,서울 서초구 효령로 423 스페이스다온 1층 102호 OMG coffee & dessert
333,파리바게뜨 카페서초역점,서울 서초구 반포대로27길 13 (서초동
334,에슬로우 강남역삼성타운점,서울 서초구 서초대로74길 23 서초타운트라팰리스 1층 110호 에슬로우
335,위타드 삼성타운점,서울 서초구 서초대로78길 22 1층 위타드 삼성타운점
336,던킨 교대법원점,서울 서초구 서초중앙로 142
